Record#,PIT Tag,SRR Verbose,Event Type,Conditional Comments,Length,Weight,Text Comments,Event Date (PST),Event Site,Brood Year,Migration Year,Release Site,Release Date (PST),Organization,Hatchery,Additional Positional,Tally Count,SRR Code
1,3DD.00774EF571,Wild Summer Chinook,Mark,,80,4.7,STARTED CLIPFILE #CAZ7220,3/1/2017 8:34,JOHTRP,2015,2017,JOHTRP,3/1/2017 8:34,NPT,,,1,12W
2,3DD.007756D140,Wild Summer Chinook,Mark,B,74,3.7,,3/1/2017 8:38,JOHTRP,2015,2017,JOHTRP,3/1/2017 8:38,NPT,,,1,12W
3,3DD.00774EBFBD,Wild Summer Chinook,Mark,,76,4.3,,3/1/2017 8:39,JOHTRP,2015,2017,JOHTRP,3/1/2017 8:39,NPT,,,1,12W
4,3DD.00774F1E1D,Wild Summer Chinook,Mark,,85,5.4,,3/1/2017 8:39,JOHTRP,2015,2017,JOHTRP,3/1/2017 8:39,NPT,,,1,12W
5,3DD.00774F8BD0,Wild Summer Chinook,Mark,,84,5.9,,3/1/2017 8:40,JOHTRP,2015,2017,JOHTRP,3/1/2017 8:40,NPT,,,1,12W
6,3DD.00774F0153,Wild Summer Chinook,Mark,,84,5.8,,3/1/2017 8:40,JOHTRP,2015,2017,JOHTRP,3/1/2017 8:40,NPT,,,1,12W
7,3DD.00774F18BC,Wild Summer Steelhead,Mark,,158,36,,3/1/2017 8:41,JOHTRP,2015,2017,JOHTRP,3/1/2017 8:41,NPT,,,1,32W
1,..........,Mountain Whitefish,Tally,,87,5,,3/3/2017 7:07,JOHTRP,2015,2017,JOHTRP,3/3/2017 7:07,NPT,,,1,G0W
2,3DD.00774F013E,Wild Summer Chinook,Mark,,84,5.4,,3/3/2017 7:08,JOHTRP,2015,2017,JOHTRP,3/3/2017 7:08,NPT,,,1,12W
3,3DD.00775713D5,Wild Summer Chinook,Mark,,80,5.2,,3/3/2017 7:09,JOHTRP,2015,2017,JOHTRP,3/3/2017 7:09,NPT,,,1,12W
4,3DD.0077572A72,Wild Summer Chinook,Mark,,77,4.4,,3/3/2017 7:09,JOHTRP,2015,2017,JOHTRP,3/3/2017 7:09,NPT,,,1,12W
5,3DD.0077570AB4,Wild Summer Steelhead,Mark,,92,7.3,,3/3/2017 7:10,JOHTRP,2015,2017,JOHTRP,3/3/2017 7:10,NPT,,,1,32W
1,3DD.0077572A66,Wild Summer Chinook,Mark,,80,5.4,,3/4/2017 8:12,JOHTRP,2015,2017,JOHTRP,3/4/2017 8:12,NPT,,,1,12W
2,3DD.0077572A3F,Wild Summer Chinook,Mark,,77,4.3,,3/4/2017 8:18,JOHTRP,2015,2017,JOHTRP,3/4/2017 8:18,NPT,,,1,12W
3,3DD.00775707E1,Wild Summer Chinook,Mark,,81,5.2,,3/4/2017 8:18,JOHTRP,2015,2017,JOHTRP,3/4/2017 8:18,NPT,,,1,12W
4,3DD.00774F0991,Wild Summer Chinook,Mark,,78,4.4,,3/4/2017 8:19,JOHTRP,2015,2017,JOHTRP,3/4/2017 8:19,NPT,,,1,12W
5,3DD.007756E2B2,Wild Summer Chinook,Mark,,78,4.5,,3/4/2017 8:20,JOHTRP,2015,2017,JOHTRP,3/4/2017 8:20,NPT,,,1,12W
1,3DD.0077573E42,Wild Summer Chinook,Mark,,89,6.7,,3/5/2017 10:46,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:46,NPT,,,1,12W
2,3DD.00774EE824,Wild Summer Chinook,Mark,,94,8.2,,3/5/2017 10:48,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:48,NPT,,,1,12W
3,3DD.007756E2B2,Wild Summer Chinook,Recapture,RE,80,4.6,RC (CDR17063.JCT),3/5/2017 10:48,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:48,NPT,,,1,12W
4,3DD.0077572F2C,Wild Summer Chinook,Mark,,85,5.7,,3/5/2017 10:49,JOHTRP,2015,2017,JOHTRP,3/5/2017 10:49,NPT,,,1,12W
