trap_year,facility,trap,species,run,origin,sex,age_designation,living_status,disposition,purpose,count
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Female,NA,Alive,Ponded,Brood Stock,1
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Ponded,Brood Stock,1
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,5
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,7
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,2
1997,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,11
1998,NPT GRSME Program,Lostine River Weir,Bull Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,5
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,1
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,9
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,TrapMort,Disposed,Nutrient Enhancement,1
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,1
1998,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,11
1998,NPT GRSME Program,Lostine River Weir,Mtn White Fish,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,14
1998,NPT GRSME Program,Lostine River Weir,Rainbow Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,6
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Hatchery-Stray,Female,Adult,Alive,Ponded,Brood Stock,1
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Ponded,Brood Stock,33
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Female,Adult,Alive,Released,Natural Spawning,35
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Ponded,Brood Stock,19
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Adult,Alive,Released,Natural Spawning,23
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Ponded,Brood Stock,1
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Chinook,Summer,Natural,Male,Jack/Jill,Alive,Released,Natural Spawning,2
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,Alive,Released,Natural Spawning,11
1998,NPT JCAPE Program,Johnson Creek Weir - Upstream Trap,Mtn White Fish,NA,Native,Unknown,NA,TrapMort,Disposed,Nutrient Enhancement,2
1999,NPT GRSME Program,Lostine River Weir,Bull Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,8
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Female,NA,Killed,Disposed,Distribution,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Released,Natural Spawning,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,6
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,1
1999,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Released,Natural Spawning,4
1999,NPT GRSME Program,Lostine River Weir,Mtn White Fish,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
1999,NPT GRSME Program,Lostine River Weir,Steelhead,Summer,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,1
2000,NPT GRSME Program,Lostine River Weir,Bull Trout,NA,Uncategorized,Unknown,NA,Alive,Released,Natural Spawning,12
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Ponded,Brood Stock,11
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Hatchery,Male,NA,Alive,Released,Natural Spawning,16
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Ponded,Brood Stock,8
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Female,NA,Alive,Released,Natural Spawning,13
2000,NPT GRSME Program,Lostine River Weir,Chinook,Summer,Natural,Male,NA,Alive,Ponded,Brood Stock,14
